code,state,date,year,month,month_name,precipitation
MYS.1531898,Perak,2016-04,2016,4,April,147.3
MYS.1531899,Perlis,2016-04,2016,4,April,62.32
MYS.1531900,Pulau Pinang,2016-04,2016,4,April,125.64
MYS.1531901,Sabah,2016-04,2016,4,April,165.91
MYS.1531902,Sarawak,2016-04,2016,4,April,285.94
MYS.1531903,Selangor,2016-04,2016,4,April,178.8
MYS.1531904,Terengganu,2016-04,2016,4,April,59.46
MYS.15337336,Labuan,2016-04,2016,4,April,78.59
MYS.1531891,Johor,2016-05,2016,5,May,261.47
MYS.1531892,Kedah,2016-05,2016,5,May,308.79
MYS.1531893,Kelantan,2016-05,2016,5,May,154.22
MYS.1531894,Kuala Lumpur,2016-05,2016,5,May,332.08
MYS.1531895,Melaka,2016-05,2016,5,May,252.02
MYS.1531896,Negeri Sembilan,2016-05,2016,5,May,232.27
MYS.1531897,Pahang,2016-05,2016,5,May,209.08
MYS.1531898,Perak,2016-05,2016,5,May,302.69
MYS.1531899,Perlis,2016-05,2016,5,May,246.44
MYS.1531900,Pulau Pinang,2016-05,2016,5,May,304.97
MYS.1531901,Sabah,2016-05,2016,5,May,241.06
MYS.1531902,Sarawak,2016-05,2016,5,May,344.12
MYS.1531903,Selangor,2016-05,2016,5,May,273.62
MYS.1531904,Terengganu,2016-05,2016,5,May,220.8
MYS.15337336,Labuan,2016-05,2016,5,May,209.08
MYS.1531891,Johor,2016-06,2016,6,June,155.73
MYS.1531892,Kedah,2016-06,2016,6,June,152.19
MYS.1531893,Kelantan,2016-06,2016,6,June,218.43
MYS.1531894,Kuala Lumpur,2016-06,2016,6,June,133.56
MYS.1531895,Melaka,2016-06,2016,6,June,150.7
MYS.1531896,Negeri Sembilan,2016-06,2016,6,June,131.11
MYS.1531897,Pahang,2016-06,2016,6,June,144.75
MYS.1531898,Perak,2016-06,2016,6,June,138.51
MYS.1531899,Perlis,2016-06,2016,6,June,168.99
MYS.1531900,Pulau Pinang,2016-06,2016,6,June,171.55
MYS.1531901,Sabah,2016-06,2016,6,June,229.23
MYS.1531902,Sarawak,2016-06,2016,6,June,233.52
MYS.1531903,Selangor,2016-06,2016,6,June,118.84
MYS.1531904,Terengganu,2016-06,2016,6,June,265.16
MYS.15337336,Labuan,2016-06,2016,6,June,132.49
MYS.1531891,Johor,2016-07,2016,7,July,182.43
MYS.1531892,Kedah,2016-07,2016,7,July,200.57
MYS.1531893,Kelantan,2016-07,2016,7,July,231.66
MYS.1531894,Kuala Lumpur,2016-07,2016,7,July,212.36
MYS.1531895,Melaka,2016-07,2016,7,July,191.29
MYS.1531896,Negeri Sembilan,2016-07,2016,7,July,184.05
MYS.1531897,Pahang,2016-07,2016,7,July,195.23
